"","source","target","ligand","receptor","prob","pval","interaction_name","interaction_name_2","pathway_name","annotation","evidence"
"1","astrocytes","microglia","TGFB2","TGFbR1_R2",0.00108237451395186,0,"TGFB2_TGFBR1_TGFBR2","TGFB2 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"2","endothelial","microglia","TGFB2","TGFbR1_R2",2.33494578137452e-05,0,"TGFB2_TGFBR1_TGFBR2","TGFB2 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"3","neurons","microglia","TGFB2","TGFbR1_R2",0.00048364031101724,0,"TGFB2_TGFBR1_TGFBR2","TGFB2 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"4","astrocytes","OPC","TGFB2","TGFbR1_R2",3.67846950301733e-05,0,"TGFB2_TGFBR1_TGFBR2","TGFB2 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"5","endothelial","OPC","TGFB2","TGFbR1_R2",7.92731232255012e-07,0.02,"TGFB2_TGFBR1_TGFBR2","TGFB2 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"6","neurons","OPC","TGFB2","TGFbR1_R2",1.64270258962239e-05,0.01,"TGFB2_TGFBR1_TGFBR2","TGFB2 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"7","endothelial","microglia","TGFB3","TGFbR1_R2",0.000136001602997947,0,"TGFB3_TGFBR1_TGFBR2","TGFB3 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"8","endothelial","OPC","TGFB3","TGFbR1_R2",4.61819437136171e-06,0,"TGFB3_TGFBR1_TGFBR2","TGFB3 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"9","astrocytes","endothelial","TGFB2","ACVR1B_TGFbR2",2.3202887411116e-05,0,"TGFB2_ACVR1B_TGFBR2","TGFB2 - (ACVR1B+TGFBR2)","TGFb","Secreted Signaling","PMID: 27449815"
"10","endothelial","endothelial","TGFB2","ACVR1B_TGFbR2",5.00036420989434e-07,0,"TGFB2_ACVR1B_TGFBR2","TGFB2 - (ACVR1B+TGFBR2)","TGFb","Secreted Signaling","PMID: 27449815"
"11","neurons","endothelial","TGFB2","ACVR1B_TGFbR2",1.03617777387705e-05,0,"TGFB2_ACVR1B_TGFBR2","TGFB2 - (ACVR1B+TGFBR2)","TGFb","Secreted Signaling","PMID: 27449815"
"12","endothelial","endothelial","TGFB3","ACVR1B_TGFbR2",2.9130486245109e-06,0,"TGFB3_ACVR1B_TGFBR2","TGFB3 - (ACVR1B+TGFBR2)","TGFb","Secreted Signaling","PMID: 27449815"
"13","endothelial","endothelial","BMP6","ACVR1_ACVR2A",1.34101326524327e-07,0,"BMP6_ACVR1_ACVR2A","BMP6 - (ACVR1+ACVR2A)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
"14","endothelial","endothelial","BMP6","ACVR1_BMPR2",1.32904801369175e-06,0,"BMP6_ACVR1_BMPR2","BMP6 - (ACVR1+BMPR2)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
"15","endothelial","astrocytes","BMP6","BMPR1B_ACVR2A",3.15137757229378e-06,0,"BMP6_BMPR1B_ACVR2A","BMP6 - (BMPR1B+ACVR2A)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
"16","endothelial","neurons","BMP6","BMPR1B_ACVR2A",3.55568947881539e-07,0,"BMP6_BMPR1B_ACVR2A","BMP6 - (BMPR1B+ACVR2A)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
"17","endothelial","neurons","BMP6","BMPR1B_ACVR2B",9.86429527202531e-08,0,"BMP6_BMPR1B_ACVR2B","BMP6 - (BMPR1B+ACVR2B)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
"18","endothelial","astrocytes","BMP6","BMPR1B_BMPR2",1.63253927471801e-05,0,"BMP6_BMPR1B_BMPR2","BMP6 - (BMPR1B+BMPR2)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
"19","endothelial","neurons","BMP6","BMPR1B_BMPR2",3.85684126593293e-07,0,"BMP6_BMPR1B_BMPR2","BMP6 - (BMPR1B+BMPR2)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
"20","astrocytes","endothelial","BMP7","ACVR1_ACVR2A",4.81293619619674e-05,0,"BMP7_ACVR1_ACVR2A","BMP7 - (ACVR1+ACVR2A)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
"21","OPC","endothelial","BMP7","ACVR1_ACVR2A",1.31473350461843e-05,0.01,"BMP7_ACVR1_ACVR2A","BMP7 - (ACVR1+ACVR2A)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
"22","astrocytes","endothelial","BMP7","ACVR1_BMPR2",0.000476795342066013,0,"BMP7_ACVR1_BMPR2","BMP7 - (ACVR1+BMPR2)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
"23","OPC","endothelial","BMP7","ACVR1_BMPR2",0.000130285165933817,0.01,"BMP7_ACVR1_BMPR2","BMP7 - (ACVR1+BMPR2)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
"24","astrocytes","astrocytes","BMP7","BMPR1B_ACVR2A",0.00112981863133637,0,"BMP7_BMPR1B_ACVR2A","BMP7 - (BMPR1B+ACVR2A)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
"25","OPC","astrocytes","BMP7","BMPR1B_ACVR2A",0.000308871583727822,0.01,"BMP7_BMPR1B_ACVR2A","BMP7 - (BMPR1B+ACVR2A)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
"26","astrocytes","neurons","BMP7","BMPR1B_ACVR2A",0.000127604605479865,0.01,"BMP7_BMPR1B_ACVR2A","BMP7 - (BMPR1B+ACVR2A)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
"27","astrocytes","neurons","BMP7","BMPR1B_ACVR2B",3.54036942913758e-05,0,"BMP7_BMPR1B_ACVR2B","BMP7 - (BMPR1B+ACVR2B)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
"28","astrocytes","astrocytes","BMP7","BMPR1B_BMPR2",0.00582547354492999,0,"BMP7_BMPR1B_BMPR2","BMP7 - (BMPR1B+BMPR2)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
"29","OPC","astrocytes","BMP7","BMPR1B_BMPR2",0.00159803564895664,0,"BMP7_BMPR1B_BMPR2","BMP7 - (BMPR1B+BMPR2)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
"30","astrocytes","neurons","BMP7","BMPR1B_BMPR2",0.000138410679219173,0.02,"BMP7_BMPR1B_BMPR2","BMP7 - (BMPR1B+BMPR2)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
