"","source","target","ligand","receptor","prob","pval","interaction_name","interaction_name_2","pathway_name","annotation","evidence"
"1","Opc","Ex","BMP7","BMPR1A_ACVR2A",0.00173066637975006,0,"BMP7_BMPR1A_ACVR2A","BMP7 - (BMPR1A+ACVR2A)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
"2","Opc","Ast","BMP7","BMPR1A_BMPR2",0.00470310436518209,0,"BMP7_BMPR1A_BMPR2","BMP7 - (BMPR1A+BMPR2)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
"3","Opc","Ex","BMP7","BMPR1A_BMPR2",0.00437959301841323,0,"BMP7_BMPR1A_BMPR2","BMP7 - (BMPR1A+BMPR2)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
"4","Opc","Ast","BMP7","BMPR1B_BMPR2",0.00874994254491158,0,"BMP7_BMPR1B_BMPR2","BMP7 - (BMPR1B+BMPR2)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
"5","Ex","Ast","NRG1","ERBB4",0.167668293780654,0,"NRG1_ERBB4","NRG1 - ERBB4","NRG","Secreted Signaling","KEGG: hsa04012"
"6","Ex","In","NRG1","ERBB4",0.186758738808072,0,"NRG1_ERBB4","NRG1 - ERBB4","NRG","Secreted Signaling","KEGG: hsa04012"
"7","Ex","Oli","NRG1","ERBB4",0.0982195837470508,0,"NRG1_ERBB4","NRG1 - ERBB4","NRG","Secreted Signaling","KEGG: hsa04012"
"8","Ex","Opc","NRG1","ERBB4",0.159870014933477,0,"NRG1_ERBB4","NRG1 - ERBB4","NRG","Secreted Signaling","KEGG: hsa04012"
"9","Ex","Ast","NRG2","ERBB4",0.0175972682646004,0,"NRG2_ERBB4","NRG2 - ERBB4","NRG","Secreted Signaling","KEGG: hsa04012"
"10","In","Ast","NRG2","ERBB4",0.0299261477893688,0,"NRG2_ERBB4","NRG2 - ERBB4","NRG","Secreted Signaling","KEGG: hsa04012"
"11","Opc","Ast","NRG2","ERBB4",0.0416729862065276,0,"NRG2_ERBB4","NRG2 - ERBB4","NRG","Secreted Signaling","KEGG: hsa04012"
"12","Ex","In","NRG2","ERBB4",0.020011682902976,0,"NRG2_ERBB4","NRG2 - ERBB4","NRG","Secreted Signaling","KEGG: hsa04012"
"13","In","In","NRG2","ERBB4",0.0339736351218615,0,"NRG2_ERBB4","NRG2 - ERBB4","NRG","Secreted Signaling","KEGG: hsa04012"
"14","Opc","In","NRG2","ERBB4",0.0472318693765214,0,"NRG2_ERBB4","NRG2 - ERBB4","NRG","Secreted Signaling","KEGG: hsa04012"
"15","Ex","Oli","NRG2","ERBB4",0.00959207538719641,0,"NRG2_ERBB4","NRG2 - ERBB4","NRG","Secreted Signaling","KEGG: hsa04012"
"16","In","Oli","NRG2","ERBB4",0.0164060730049124,0,"NRG2_ERBB4","NRG2 - ERBB4","NRG","Secreted Signaling","KEGG: hsa04012"
"17","Opc","Oli","NRG2","ERBB4",0.0229715802439371,0,"NRG2_ERBB4","NRG2 - ERBB4","NRG","Secreted Signaling","KEGG: hsa04012"
"18","Ex","Opc","NRG2","ERBB4",0.0166392816505348,0,"NRG2_ERBB4","NRG2 - ERBB4","NRG","Secreted Signaling","KEGG: hsa04012"
"19","In","Opc","NRG2","ERBB4",0.0283163287810288,0,"NRG2_ERBB4","NRG2 - ERBB4","NRG","Secreted Signaling","KEGG: hsa04012"
"20","Opc","Opc","NRG2","ERBB4",0.0394569707918376,0,"NRG2_ERBB4","NRG2 - ERBB4","NRG","Secreted Signaling","KEGG: hsa04012"
"21","Ast","Ast","NRG3","ERBB4",0.348682751976344,0,"NRG3_ERBB4","NRG3 - ERBB4","NRG","Secreted Signaling","KEGG: hsa04012"
"22","Ex","Ast","NRG3","ERBB4",0.314520651429149,0,"NRG3_ERBB4","NRG3 - ERBB4","NRG","Secreted Signaling","KEGG: hsa04012"
"23","In","Ast","NRG3","ERBB4",0.322009883600679,0,"NRG3_ERBB4","NRG3 - ERBB4","NRG","Secreted Signaling","KEGG: hsa04012"
"24","Opc","Ast","NRG3","ERBB4",0.259848457676387,0,"NRG3_ERBB4","NRG3 - ERBB4","NRG","Secreted Signaling","KEGG: hsa04012"
"25","Ast","In","NRG3","ERBB4",0.378998535140608,0,"NRG3_ERBB4","NRG3 - ERBB4","NRG","Secreted Signaling","KEGG: hsa04012"
"26","Ex","In","NRG3","ERBB4",0.343432397328476,0,"NRG3_ERBB4","NRG3 - ERBB4","NRG","Secreted Signaling","KEGG: hsa04012"
"27","In","In","NRG3","ERBB4",0.351257292272611,0,"NRG3_ERBB4","NRG3 - ERBB4","NRG","Secreted Signaling","KEGG: hsa04012"
"28","Opc","In","NRG3","ERBB4",0.285830145500997,0,"NRG3_ERBB4","NRG3 - ERBB4","NRG","Secreted Signaling","KEGG: hsa04012"
