"","source","target","pathway_name","prob","pval"
"1","Ast","Ast","ANGPTL",0.00857247936153428,0
"2","Ast","Ast","FGF",0.0288664708892099,0
"3","Ast","Ast","NRG",0.348682751976344,0
"4","Ast","Ast","PSAP",0.0315229132073375,0
"5","Ast","Ast","PTN",0.119022478530581,0
"6","Ast","End","ANGPTL",0.00883979690582289,0
"7","Ast","In","NRG",0.378998535140608,0
"8","Ast","In","PTN",0.0216632414770602,0
"9","Ast","Oli","FGF",0.00862849717485869,0
"10","Ast","Oli","NRG",0.224478403751487,0
"11","Ast","Oli","PSAP",0.0333118973009746,0
"12","Ast","Opc","ANGPTL",0.008853750022375,0
"13","Ast","Opc","FGF",0.00716526913521553,0
"14","Ast","Opc","NRG",0.335862703569156,0
"15","Ast","Opc","PSAP",0.0262362190251828,0
"16","Ast","Opc","PTN",0.274369342456197,0
"17","Ast","Per","ANGPTL",0.00960872715851929,0
"18","End","Ast","PSAP",0.0106989188461857,0
"19","End","End","VISFATIN",0.0151238064599906,0
"20","End","Ex","VISFATIN",0.00819631454344593,0
"21","End","In","VISFATIN",0.0104058850428834,0
"22","End","Oli","PSAP",0.0113199157551854,0
"23","End","Oli","VISFATIN",0.0141302159502024,0
"24","End","Opc","PSAP",0.00887261263691382,0
"25","End","Per","VISFATIN",0.01425079476354,0
"26","Ex","Ast","NRG",0.499786213474403,0
"27","Ex","Ast","PSAP",0.028495325545763,0
"28","Ex","In","NRG",0.550202819039524,0
"29","Ex","Oli","NRG",0.306583103538356,0
"30","Ex","Oli","PSAP",0.0301178317155244,0
"31","Ex","Opc","NRG",0.478882824468184,0
"32","Ex","Opc","PSAP",0.0237039592180025,0
"33","In","Ast","IGF",0.00308133671461643,0
"34","In","Ast","NRG",0.351936031390047,0
"35","In","Ast","PSAP",0.0104162561164311,0
"36","In","End","IGF",0.0037086672592211,0
"37","In","Ex","IGF",0.00516874161206684,0
"38","In","In","IGF",0.002273969998357,0
"39","In","In","NRG",0.385230927394472,0
"40","In","Oli","NRG",0.220732131525277,0
"41","In","Oli","PSAP",0.0110210292170524,0
"42","In","Opc","IGF",0.00309655160360589,0
"43","In","Opc","NRG",0.338020528245397,0
"44","In","Opc","PSAP",0.00863777917039413,0
"45","Mic","Ast","PSAP",0.0149064067590778,0
"46","Mic","Oli","PSAP",0.0157677263568105,0
"47","Mic","Opc","PSAP",0.0123708631336583,0
"48","Oli","Ast","PSAP",0.0121828644423143,0
"49","Oli","Oli","PSAP",0.0128888717870258,0
"50","Oli","Opc","PSAP",0.0101058362039949,0
"51","Opc","Ast","BMP",0.0134530469100937,0
"52","Opc","Ast","NRG",0.301521443882915,0
"53","Opc","Ast","PSAP",0.0114475383620584,0
"54","Opc","Ast","PTN",0.118984214198443,0
"55","Opc","Ex","BMP",0.00611025939816329,0
"56","Opc","In","NRG",0.333062014877518,0
"57","Opc","In","PTN",0.0216558502492688,0
"58","Opc","Oli","NRG",0.182508412385667,0
"59","Opc","Oli","PSAP",0.0121114554035342,0
"60","Opc","Opc","NRG",0.2885026620162,0
"61","Opc","Opc","PDGF",0.00593229716063462,0
"62","Opc","Opc","PSAP",0.00949466918779486,0
"63","Opc","Opc","PTN",0.274285676958876,0
"64","Per","Ast","PTN",0.0716545350285928,0
"65","Per","In","PTN",0.0127294048485138,0
"66","Per","Opc","PTN",0.168685922824698,0
