"","source","target","pathway_name","prob","pval"
"1","Astr","Astr","NRG",0.295657077781166,0
"2","Astr","Astr","PTN",0.0383623425122711,0
"3","Astr","Inh","NRG",0.35662273076931,0
"4","Astr","Olig","NRG",0.0898720346812514,0
"5","Astr","OPC","NRG",0.290785346266064,0
"6","Astr","OPC","PTN",0.0836809232686024,0
"7","Endo","Endo","VISFATIN",0.0124089006755051,0
"8","Endo","Peri","VISFATIN",0.00832154172538434,0
"9","Exc","Astr","NRG",0.431323517873023,0
"10","Exc","Inh","NRG",0.528776166777289,0
"11","Exc","Olig","NRG",0.125057603595941,0
"12","Exc","OPC","NRG",0.423687499220653,0
"13","Inh","Astr","NRG",0.286623380490158,0
"14","Inh","Inh","NRG",0.346643020380063,0
"15","Inh","Olig","NRG",0.086355131800221,0
"16","Inh","OPC","NRG",0.281840939462987,0
"17","None","Astr","NRG",0.202531617719558,0
"18","None","Inh","NRG",0.256120643183573,0
"19","None","OPC","NRG",0.198465823397371,0
"20","OPC","Astr","NRG",0.187858484118891,0
"21","OPC","Astr","PTN",0.0388840456813855,0
"22","OPC","Inh","NRG",0.233979858374503,0
"23","OPC","OPC","NRG",0.18429824164073,0
"24","OPC","OPC","PTN",0.084790941781171,0
"25","Peri","Astr","PTN",0.101555919158715,0
"26","Peri","Endo","VISFATIN",0.00580377446519349,0
"27","Peri","OPC","PTN",0.213278308951776,0
"28","Peri","Peri","VISFATIN",0.00388351796132167,0
