"","source","target","pathway_name","prob","pval"
"1","astrocytes","astrocytes","ANGPTL",0.00101468374827252,0
"2","astrocytes","astrocytes","BMP",0.00695529217626635,0
"3","astrocytes","astrocytes","ENHO",0.000197030072114992,0
"4","astrocytes","astrocytes","FGF",0.0101654492107978,0.00333333333333333
"5","astrocytes","astrocytes","NRG",0.000129036605290908,0
"6","astrocytes","astrocytes","PDGF",0.000234803908813902,0
"7","astrocytes","astrocytes","PSAP",0.0707027664339529,0
"8","astrocytes","astrocytes","PTN",0.199932008363,0
"9","astrocytes","astrocytes","SEMA3",3.55166935939476e-06,0
"10","astrocytes","endothelial","ACTIVIN",1.76935632931698e-07,0
"11","astrocytes","endothelial","ANGPT",4.44672356185438e-06,0
"12","astrocytes","endothelial","ANGPTL",0.000220388425464174,0
"13","astrocytes","endothelial","BMP",0.00052492470402798,0
"14","astrocytes","endothelial","CALCR",1.62986194444325e-06,0
"15","astrocytes","endothelial","FGF",0.000132756634733755,0.01
"16","astrocytes","endothelial","PDGF",1.83613443958394e-05,0.01
"17","astrocytes","endothelial","PTN",0.0255212709635196,0
"18","astrocytes","endothelial","SEMA3",1.72034899922251e-06,0
"19","astrocytes","endothelial","TGFb",2.3202887411116e-05,0
"20","astrocytes","endothelial","VEGF",0.00157735062945464,0
"21","astrocytes","endothelial","VISFATIN",8.08147042195503e-05,0
"22","astrocytes","microglia","ANGPTL",4.49509861435864e-06,0
"23","astrocytes","microglia","CCL",9.66722181421078e-06,0
"24","astrocytes","microglia","COMPLEMENT",2.22471483070854e-05,0
"25","astrocytes","microglia","CSF",0.000129485651773622,0
"26","astrocytes","microglia","TGFb",0.00108237451395186,0
"27","astrocytes","microglia","VEGF",0.000692110789944713,0
"28","astrocytes","neurons","ACTIVIN",3.79804876199897e-06,0
"29","astrocytes","neurons","ANGPTL",4.61605424170543e-06,0
"30","astrocytes","neurons","BMP",0.000301418978990413,0.01
"31","astrocytes","neurons","ENHO",1.29960657657136e-05,0
"32","astrocytes","neurons","FGF",0.000273950921400547,0
"33","astrocytes","neurons","NRG",0.00290981389490939,0.01
"34","astrocytes","neurons","PTN",0.0223766701842435,0
"35","astrocytes","neurons","SEMA3",1.21321636082087e-06,0
"36","astrocytes","oligodendrocytes","FGF",0.00397629185825561,0
"37","astrocytes","oligodendrocytes","GRN",0.000234041132702013,0.01
"38","astrocytes","oligodendrocytes","PSAP",0.0462762144855338,0
"39","astrocytes","oligodendrocytes","PTN",0.0353001351660132,0
"40","astrocytes","OPC","ANGPT",1.15455530923121e-05,0
"41","astrocytes","OPC","ANGPTL",7.54373644159578e-05,0
"42","astrocytes","OPC","CALCR",7.3865470320657e-06,0
"43","astrocytes","OPC","COMPLEMENT",6.70358659788898e-07,0
"44","astrocytes","OPC","CSF",1.73772881879006e-06,0
"45","astrocytes","OPC","FGF",0.000153352957849012,0
"46","astrocytes","OPC","PDGF",0.00793900980521584,0.005
"47","astrocytes","OPC","PTN",0.166305304461994,0
"48","astrocytes","OPC","TGFb",3.67846950301733e-05,0
"49","astrocytes","OPC","VEGF",2.37176558824064e-06,0.04
"50","endothelial","astrocytes","BMP",1.94767703194739e-05,0
"51","endothelial","astrocytes","EDN",0.00943505583173053,0
"52","endothelial","astrocytes","EGF",0.0190045288844372,0.00125
"53","endothelial","astrocytes","FGF",0.00723011361369456,0
"54","endothelial","astrocytes","PDGF",0.00039684242017129,0
"55","endothelial","astrocytes","PSAP",0.0221920485609898,0
